"Sample date",Ramp/site,"Catch area","# Interviews (Boat or Shore)",Anglers,"Chinook (per angler)",Chinook,Coho,Chum,Pink,Sockeye,Lingcod,Halibut
"Dec 31, 2013","Misery Point Ramp",N/A,2,2,0,1,0,0,0,0,0,0
"Dec 31, 2013","Shilshole Public Ramp",N/A,1,2,0,4,0,0,0,0,0,0
"Dec 30, 2013","Misery Point Ramp",N/A,3,6,0,0,0,0,0,0,0,0
"Dec 30, 2013","Point Defiance Boathouse",N/A,3,3,0,0,0,0,0,0,0,0
"Dec 30, 2013","Point Defiance Public Ramp",N/A,2,4,0,0,0,0,0,0,0,0
"Dec 30, 2013","Shilshole Public Ramp",N/A,4,5,0,0,0,0,0,0,0,0
"Dec 29, 2013","Armeni Ramp",N/A,14,32,0,4,0,0,0,0,0,0
"Dec 29, 2013","Bellingham Ramp Squalicum Harbor",N/A,9,22,0,8,0,0,0,0,0,0
"Dec 29, 2013","Camano Island State Park Public Ramp",N/A,8,17,0,3,0,0,0,0,0,0
"Dec 29, 2013","Cornet Bay Public Ramp",N/A,6,11,0,10,0,0,0,0,0,0
"Dec 29, 2013","Ediz Hook, Port Angeles Public Ramp",N/A,9,16,0,3,3,0,0,0,0,0
"Dec 29, 2013","Everett Public Ramp",N/A,14,29,0,2,0,0,0,0,0,0
"Dec 29, 2013","John Wayne Marina",N/A,2,4,0,0,0,0,0,0,0,0
"Dec 29, 2013","Maplegrove Ramp, Camano Is",N/A,1,2,0,0,0,0,0,0,0,0
"Dec 29, 2013","Misery Point Ramp",N/A,3,6,0,0,0,0,0,0,0,0
"Dec 29, 2013","Shilshole Public Ramp",N/A,3,6,0,0,0,0,0,0,0,0
"Dec 29, 2013","Washington Park Launch Ramp",N/A,18,34,0,6,0,0,0,0,0,0
"Dec 28, 2013","Bellingham Ramp Squalicum Harbor",N/A,16,42,0,12,0,0,0,0,0,0
"Dec 28, 2013","Camano Island State Park Public Ramp",N/A,12,22,0,0,0,0,0,0,0,0
"Dec 28, 2013","Cornet Bay Public Ramp",N/A,7,17,0,6,0,0,0,0,0,0
"Dec 28, 2013","Ediz Hook, Port Angeles Public Ramp",N/A,10,23,0,1,1,0,0,0,0,0
